"Date","Total Sales"
"1-01-18",266.0
"1-02-18",145.9
"1-03-18",183.1
"1-04-18",119.3
"1-05-18",180.3
"1-06-18",168.5
"1-07-18",231.8
"1-08-18",224.5
"1-09-18",192.8
"1-10-18",122.9
"1-11-18",336.5
"1-12-18",185.9
"2-01-19",194.3
"2-02-19",149.5
"2-03-19",210.1
"2-04-19",273.3
"2-05-19",191.4
"2-06-19",287.0
"2-07-19",226.0
"2-08-19",303.6
"2-09-19",289.9
"2-10-19",421.6
"2-11-19",264.5
"2-12-19",342.3
"3-01-20",339.7
"3-02-20",440.4
"3-03-20",315.9
"3-04-20",439.3
"3-05-20",401.3
"3-06-20",437.4
"3-07-20",575.5
"3-08-20",407.6
"3-09-20",682.0
"3-10-20",475.3
"3-11-20",581.3
"3-12-20",646.9
